Issue Id,Issue Type,Summary,Description,Acceptance Criteria,Story Points,Priority,Epic Name,Epic Link,Parent Id
EP01,Epic,[EP01] Landing Page & Adquisición de Clientes,"Como visitante interesado en soluciones gastronómicas, deseo explorar un sitio web informativo para conocer la propuesta de valor, los beneficios económicos y los planes de Platter.

Alcance de la Épica:
- El sitio web estático presenta información clara y responsiva dirigida a restaurantes y comensales.
- Incluye secciones de beneficios, retorno de inversión (ROI), demostración interactiva, planes comerciales y formulario de contacto.","- El sitio web estático presenta información clara y responsiva dirigida a restaurantes y comensales.
- Incluye secciones de beneficios, retorno de inversión (ROI), demostración interactiva, planes comerciales y formulario de contacto.",,High,EP01 - Landing Page & Adquisición de Clientes,,
EP02,Epic,[EP02] Catálogo Gastronómico & Análisis con IA,"Como dueño de restaurante, deseo registrar mis platos mediante fotografías y procesamiento con Inteligencia Artificial para automatizar la creación de fichas técnicas de mi carta sin esfuerzo manual.

Alcance de la Épica:
- Permite cargar fotografías de platos desde el dispositivo móvil.
- Genera descripción gastronómica, ingredientes, alérgenos y estimación calórica con IA.
- Permite asociar modelos 3D a escala real y habilitar o deshabilitar platos en tiempo real.","- Permite cargar fotografías de platos desde el dispositivo móvil.
- Genera descripción gastronómica, ingredientes, alérgenos y estimación calórica con IA.
- Permite asociar modelos 3D a escala real y habilitar o deshabilitar platos en tiempo real.",,High,EP02 - Catálogo Gastronómico & Análisis con IA,,
EP03,Epic,[EP03] Generación & Administración de Códigos QR,"Como dueño de restaurante, deseo generar y descargar códigos QR asociados a las mesas de mi salón para que mis clientes accedan directamente a la carta en Realidad Aumentada.

Alcance de la Épica:
- Genera identificadores únicos por mesa y por restaurante.
- Proporciona plantillas descargables de alta resolución listas para imprimir y exhibir en mesas físicas.","- Genera identificadores únicos por mesa y por restaurante.
- Proporciona plantillas descargables de alta resolución listas para imprimir y exhibir en mesas físicas.",,High,EP03 - Generación & Administración de Códigos QR,,
EP04,Epic,[EP04] Experiencia WebAR para Comensales,"Como comensal en el restaurante, deseo visualizar los platos en Realidad Aumentada sobre mi mesa a tamaño real directamente desde el navegador web para tomar una decisión informada de compra sin instalar aplicaciones.

Alcance de la Épica:
- Permite abrir la carta mediante escaneo de código QR sin autenticación.
- Renderiza modelos 3D fotorrealistas a escala 1:1 mediante estándares WebXR / Quick Look.
- Permite rotar y comparar el tamaño del plato respecto a la vajilla física.","- Permite abrir la carta mediante escaneo de código QR sin autenticación.
- Renderiza modelos 3D fotorrealistas a escala 1:1 mediante estándares WebXR / Quick Look.
- Permite rotar y comparar el tamaño del plato respecto a la vajilla física.",,High,EP04 - Experiencia WebAR para Comensales,,
EP05,Epic,[EP05] Información Nutricional & Alérgenos,"Como comensal con restricciones alimentarias, deseo consultar el detalle de ingredientes, calorías y alérgenos de cada plato para consumir alimentos seguros según mi perfil de salud.

Alcance de la Épica:
- Presenta lista clara de alérgenos certificados por la ficha del plato.
- Permite filtrar la carta descartando platos con alérgenos no tolerados por el comensal.
- Muestra advertencias de ingredientes sensibles de manera visible y accesible.","- Presenta lista clara de alérgenos certificados por la ficha del plato.
- Permite filtrar la carta descartando platos con alérgenos no tolerados por el comensal.
- Muestra advertencias de ingredientes sensibles de manera visible y accesible.",,High,EP05 - Información Nutricional & Alérgenos,,
EP06,Epic,[EP06] Panel Administrativo & Suscripciones MYPE,"Como dueño de restaurante, deseo consultar métricas de interacción con mi carta y gestionar mi plan de suscripción mensual para optimizar la rentabilidad de mi establecimiento.

Alcance de la Épica:
- Proporciona analítica de platos más visualizados en AR y mesas con mayor interacción.
- Permite seleccionar y gestionar planes de suscripción mensual mediante pasarela de pagos.","- Proporciona analítica de platos más visualizados en AR y mesas con mayor interacción.
- Permite seleccionar y gestionar planes de suscripción mensual mediante pasarela de pagos.",,High,EP06 - Panel Administrativo & Suscripciones MYPE,,
EP07,Epic,[EP07] Arquitectura Backend & Asset Pipeline (Technical Epics),"Como Developer, deseo disponer de servicios RESTful desacoplados y pipelines de procesamiento para asegurar alta disponibilidad, inferencia de IA y entrega eficiente de modelos 3D ligeros.

Alcance de la Épica:
- Expone endpoints modulares en Spring Boot bajo arquitectura limpia.
- Gestiona compresión y despacho en caché de modelos GLB/USDZ con tiempos de respuesta reducidos.","- Expone endpoints modulares en Spring Boot bajo arquitectura limpia.
- Gestiona compresión y despacho en caché de modelos GLB/USDZ con tiempos de respuesta reducidos.",,High,EP07 - Arquitectura Backend & Asset Pipeline (Technical Epics),,
US01,Story,[US01] Visualización de Propuesta de Valor y Demostrador WebAR,"Como visitante del sitio web estático, deseo experimentar una demostración interactiva de Realidad Aumentada desde mi dispositivo para comprobar la efectividad de la carta 3D antes de registrar mi negocio.

Criterios de Aceptación:
**Scenario 1: Demostración exitosa desde móvil**
**Given** que el visitante navega en la sección principal de la Landing Page desde un dispositivo móvil compatible con WebAR,
**When** selecciona la opción de prueba interactiva de un plato de muestra,
**Then** el navegador activa la vista de Realidad Aumentada y proyecta el plato gastronómico tridimensional a escala real sobre su entorno.

**Scenario 2: Demostración desde navegador de escritorio**
**Given** que el visitante ingresa a la Landing Page desde una computadora de escritorio,
**When** consulta el área de demostración interactiva,
**Then** el sistema presenta un visor 3D interactivo navegable con cursor y un código QR en pantalla para escanearlo y probar la experiencia en el smartphone.","**Scenario 1: Demostración exitosa desde móvil**
**Given** que el visitante navega en la sección principal de la Landing Page desde un dispositivo móvil compatible con WebAR,
**When** selecciona la opción de prueba interactiva de un plato de muestra,
**Then** el navegador activa la vista de Realidad Aumentada y proyecta el plato gastronómico tridimensional a escala real sobre su entorno.

**Scenario 2: Demostración desde navegador de escritorio**
**Given** que el visitante ingresa a la Landing Page desde una computadora de escritorio,
**When** consulta el área de demostración interactiva,
**Then** el sistema presenta un visor 3D interactivo navegable con cursor y un código QR en pantalla para escanearlo y probar la experiencia en el smartphone.",5,High,,EP01 - Landing Page & Adquisición de Clientes,EP01
US04,Story,[US04] Formulario de Solicitud de Piloto Gratuito,"Como visitante del segmento dueño de restaurante, deseo enviar mis datos de contacto y nombre de mi local comercial para solicitar una prueba piloto gratuita de 14 días con mi carta.

Criterios de Aceptación:
**Scenario 1: Envío exitoso de solicitud**
**Given** que el visitante completa el formulario con nombre del restaurante, correo corporativo, teléfono y número de mesas válidos,
**When** envía la solicitud de afiliación,
**Then** el sistema registra los datos en la base de prospectos y muestra un mensaje de confirmación notificando que recibirá su acceso en menos de 24 horas.

**Scenario 2: Validación de datos incompletos**
**Given** que el visitante omite ingresar un correo o teléfono con formato válido,
**When** intenta remitir el formulario,
**Then** el sistema no procesa el envío y destaca los campos requeridos con mensajes de subsanación claros.","**Scenario 1: Envío exitoso de solicitud**
**Given** que el visitante completa el formulario con nombre del restaurante, correo corporativo, teléfono y número de mesas válidos,
**When** envía la solicitud de afiliación,
**Then** el sistema registra los datos en la base de prospectos y muestra un mensaje de confirmación notificando que recibirá su acceso en menos de 24 horas.

**Scenario 2: Validación de datos incompletos**
**Given** que el visitante omite ingresar un correo o teléfono con formato válido,
**When** intenta remitir el formulario,
**Then** el sistema no procesa el envío y destaca los campos requeridos con mensajes de subsanación claros.",2,High,,EP01 - Landing Page & Adquisición de Clientes,EP01
US02,Story,"[US02] Sección de Beneficios, Métricas de Retorno (ROI) y Casos de Uso","Como visitante del segmento dueño de restaurante, deseo revisar estadísticas del impacto de la Realidad Aumentada en ventas y testimonios de restaurantes piloto para fundamentar mi decisión de afiliación.

Criterios de Aceptación:
**Scenario 1: Consulta de indicadores de rentabilidad**
**Given** que el visitante navega en la sección de beneficios de la Landing Page,
**When** explora los datos comparativos de conversión y reducción de tiempos de gestión,
**Then** visualiza métricas documentadas sobre incremento de ticket promedio (2x a 3x en conversión AR) y reducción de tiempos de actualización de carta.

**Scenario 2: Navegación de casos de uso**
**Given** que el visitante revisa los ejemplos por tipo de cocina (criolla, marina, especialidades),
**When** selecciona un caso de uso específico,
**Then** se despliegan detalles de cómo la solución resuelve la exhibición de porciones para dicho giro gastronómico.","**Scenario 1: Consulta de indicadores de rentabilidad**
**Given** que el visitante navega en la sección de beneficios de la Landing Page,
**When** explora los datos comparativos de conversión y reducción de tiempos de gestión,
**Then** visualiza métricas documentadas sobre incremento de ticket promedio (2x a 3x en conversión AR) y reducción de tiempos de actualización de carta.

**Scenario 2: Navegación de casos de uso**
**Given** que el visitante revisa los ejemplos por tipo de cocina (criolla, marina, especialidades),
**When** selecciona un caso de uso específico,
**Then** se despliegan detalles de cómo la solución resuelve la exhibición de porciones para dicho giro gastronómico.",2,High,,EP01 - Landing Page & Adquisición de Clientes,EP01
